COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS
United States,2022-01-18T17:14:00,19.1245,-42.5008,2022-03-10T11:26:31,NAVIS_EBR,Argo,"Argo GO-BGC, WHOI",1902384,1352,OPERATIONAL
United Kingdom,2022-03-03T17:10:00,34.73,-12.6733,,PROVOR,Argo,Argo UK Bio,6904183,nocbio003,REGISTERED
United States,2022-01-23T15:43:00,24.2182,-67.9966,2022-03-05T13:24:29,NAVIS_EBR,Argo,"Argo GO-BGC, WHOI",1902385,1355,OPERATIONAL
United States,2012-10-02T18:31:00,22.8017,-157.9433,2016-05-05T00:33:47,APEX,Argo,Argo UW-MBARI,5903893,6247,CLOSED
United States,2013-12-21T05:06:00,-77.4933,-165.985,2019-03-01T00:16:35,APEX,Argo,Argo UW-MBARI,5904166,6266,INACTIVE
United States,2014-04-07T09:09:00,-60,-149.9283,2018-11-15T06:29:00,APEX,Argo,Argo UW-MBARI,5904185,6712,INACTIVE
United States,2014-12-07T00:00:00,-44.6017,7.1967,2019-03-29T13:31:16,APEX,Argo,Argo UW-SOCCOM,5904474,6844,INACTIVE
United States,2015-01-19T00:00:00,-66.0067,0.0583,2020-04-27T16:44:56,APEX,Argo,Argo UW-SOCCOM,5904468,6716,INACTIVE
United States,2015-01-18T00:00:00,-67.66,-1.7633,2019-04-12T13:59:08,APEX,Argo,Argo UW-SOCCOM,5904472,6940,INACTIVE
United States,2015-12-08T23:43:00,-53.33,-80.3,2020-08-30T14:32:00,APEX,Argo,Argo UW-SOCCOM,5904663,7292,INACTIVE
United States,2016-02-28T08:55:00,-52.98,87.66,2020-08-01T18:47:34,APEX,Argo,Argo UW-SOCCOM,5904684,7333,INACTIVE
United States,2016-05-18T16:56:00,-49.96,-169.78,2020-12-05T07:01:20,APEX,Argo,Argo UW-SOCCOM,5904763,7340,INACTIVE
United States,2016-05-21T07:19:00,-46.67,-171.53,2020-10-31T22:01:38,APEX,Argo,Argo UW-SOCCOM,5904765,7456,INACTIVE
United States,2016-05-15T15:28:00,-54.95,-169.95,2020-07-26T18:24:06,APEX,Argo,Argo UW-SOCCOM,5904766,0566,INACTIVE
United States,2017-01-04T07:50:00,-68.28,-95.44,2021-04-19T07:39:27,APEX,Argo,Argo UW-SOCCOM,5904855,7758,OPERATIONAL
United States,2017-01-03T01:49:00,-67.2,-84.16,2017-08-21T23:43:27,NAVIS_A,Argo,Argo UW-SOCCOM,5904983,567,INACTIVE
United States,2017-01-01T22:57:00,-66.42,-74.24,2020-03-05T03:35:27,APEX,Argo,Argo UW-SOCCOM,5904980,7769,INACTIVE
United States,2017-01-04T05:53:00,-30.01,-103.01,2022-03-05T17:34:46,APEX,Argo,Argo UW-SOCCOM,5904844,7454,OPERATIONAL
United States,2017-01-11T11:15:00,-54.81,95.58,2020-11-23T20:35:25,APEX,Argo,Argo UW-SOCCOM,5905069,7760,INACTIVE
United States,2017-01-03T07:48:00,-49.41,62.95,2020-09-04T18:37:20,NAVIS_EBR,Argo,Argo UW-SOCCOM,5905072,691,INACTIVE
United States,2017-02-16T19:40:00,-66.39,-126.08,2018-06-04T15:44:09,APEX,Argo,Argo UW-SOCCOM,5905078,7705,INACTIVE
United States,2017-08-10T17:21:00,-32.415,-154.9733,2021-12-13T01:07:37,APEX,Argo,Argo UW-SOCCOM,5905107,7759,INACTIVE
United States,2017-09-10T06:56:00,-32.5183,-114.6967,2022-03-08T02:29:32,APEX,Argo,Argo UW-SOCCOM,5905109,7331,OPERATIONAL
United States,2018-01-21T20:25:00,-56.9933,57.6067,2022-03-02T20:38:17,APEX,Argo,Argo UW-SOCCOM,5905368,7965,OPERATIONAL
United States,2018-10-21T16:07:00,-34.5983,-36.1233,2022-03-03T12:22:03,APEX,Argo,Argo UW-SOCCOM,5905983,6461,OPERATIONAL
Norway,2019-05-29T09:23:00,74.501,-4.733,2021-01-29T11:18:00,PROVOR_III,Argo,Argo NORWAY,6903551,P43208-18NO002,INACTIVE
United States,2018-12-31T15:33:00,-59.0767,0.1433,2022-03-06T09:19:51,NAVIS_A,Argo,Argo UW-SOCCOM,5904847,0689,OPERATIONAL
United States,2019-04-25T05:19:00,-55.8717,29.94,2022-03-09T04:58:29,APEX,Argo,Argo UW-SOCCOM,5906031,8361,OPERATIONAL
Germany,2019-11-24T23:37:00,14.5384,-25.1726,2020-12-11T11:34:58,APEX,Argo,Argo GERMANY,7900559,8637,CLOSED
United States,2020-01-06T03:00:00,-37.99,108.27,2022-03-02T22:45:27,APEX,Argo,Argo UW-SOCCOM,5906222,8724,OPERATIONAL
